Original Link,Resolved CID
Nursing,bafkreiaug6l77k5mqdxth57fllg4yvp5zr35yldds2rgarrh2m7fpkabmu
Wikipedia,bafybeifdlnu7oldpn65eyf7xocinzxor4yfokoynnb52gn2bbysctqqmgy
Religion,bafybeiguyishfbvop2ngraybcpkbhcfq2kvywmfiutdb5cszxetfxjsd74
Sasanian_Empire,bafybeihucn3umbhdd4dehhn3lutldgzdnmjeqibxgdcnspq3h3nglyjtsi
English_Wikipedia,bafkreicklhckvlekjtzvkqjahmserqoqkd66nlt7kik3niiju4j6xzhc6m
Professional_wrestling,bafkreibsr75daxyqijo4fupemhaxi3tiznkosssz7piflk5ql6jzbsg2yi
Energy,bafkreifha2bvmmy6xyhzvdnybtyzqj2yn3yad7t6ucfmqn6yy4mjxki76m
Radio,bafybeigpybb7hr4viwfiydg3skbfm565irlfqmu6en5eazqgq4x23tibha
Ancient_Near_East,bafkreievej3jwbbhqxfssqoufwmvmortolgzzya6tshx7fioqahotpy62y
Ancient_Egypt,bafybeicwtkbeaf4pfmiik3ctj5lknbb2g24qc74munbtfiiu3jtb5leuky
Forensics,bafkreiau5ifzivayoccvzsk6tqb5gly5jftsr5vgehabhzf3hs24encb4i
Optics,bafkreib7lmulvj3vhjgrnr6krpgq7s7vrxfsqd4j5mxaricbcjelknzuqq
Ottoman_Empire,bafybeibp7g5lsn4cddslowkvvho3tfcmenyxxsc3doxwhmshuz55kg4cxq
Engineering,bafybeiho4hxlifxrzblijrxbbxpdzfvhmjymtylfucunwo47cojwttsp4u
Literature,bafkreieqyzpyhffr662sosb76ipbhapkbgllwxqwj6nkcsnhqkohemyfz4
Software,bafkreiesiwwrkbdcyemggqg4zcpog3ojjetfoye5ah6vjpbxiv5o6ss2jm
Information_technology,bafkreig3kcjxbcaedype3xxk5fmo3r4gtq635y6pdxfkw3wgbkkxjkpkey
Wikimedia_foundation,bafkreicf33tn5nz3ygmzcpgrmrwxuc5ybfdb52yz3zqwppmdwlb2iyo3pe
Music,bafybeiczxh7icfnzpqphhunoitr7hepgg4x4imjgmsa36y4zyxmdcqgoty
Arctic,bafybeiftcxj7evlneqsvqjf5ccn4qolshgyxyovjktwknxprjqkgrhli5i
Trains,bafkreigkjvrmz5i4ow6inhukrlfxpyj4poxl4t62azfuedrrgrv6hehwyq
War,bafybeifp62cba7oc2bbwvxsrspzof2xg7hqoacp2taqmzatloxojzisxtu
Internet,bafybeia73zcylj2bdxjl2omftjo5fpbysafr53m3g2qq6xik6tbaeqh3yu
Asian_Games,bafkreigjxzxfznksxxxr2cve4z2zctfcsqzzq25dqdabxhci7zkhbqtxsi
