Original Link,Resolved CID
Indonesian_occupation_of_East_Timor,bafybeiey5ex3m7g3mapako4jodp225dylispamls6fdxkbdjn27oi5y6hq
Maratha_Empire,bafybeidbwlsukjvvuw3f4smiqyfy5vplbfahitwsbwz3zmde2xcu7xb7xy
Pacific_Century,bafkreidtx6yqpthimfh2ohyqiex5agtii2k5vzcadauu5vgsp4f23ep3tq
Shi'a,bafkreig2d5x2v275btjyhhosh3v3v5mnrxclokocvmew7uik62ippigrzu
Judaism,bafybeidqc3sg7nl2te25sz6j3pniw66qcee2ose4naaxe7ftypks7ly5ha
Assyrian_Empire,bafkreid42yj6dnrlvd2kknm7sbjxfjzoabp5eeldvtroufxxewb5kme3ly
Ethnologue,bafkreids67krvdk72rk37x2ztj37kozei725i2rkj7x2sr5jexrkv2xwj4
Nur-Sultan,bafkreigcgt24cdmek5khxlzwfzir7ogddokbwcdjqo6j6v4kihxpxhcaem
Call_center,bafkreicg7j3pddx5nf4dr5qmbu4hhlclzsyzra63leb2quqafefw6xfiny
Pamukkale,bafkreihng2u4vsuf5kqbcvme5ov5skcfavlngsug2uc34brmcwgkau6eea
Bahrain,bafybeih3eil5de5dehb6yr22gnoizzxh2ndmaw4wfls56dsgyazae6t3vq
Zen,bafybeiaaarowzx6zysl4w7d275wwx3pb4dnjgdskikkotlxdxctl2hwel4
Moscow,bafybeibepu74lnk2xzutdvgwb7qcokiwf43axtlnziun53jdhhcpqkcl74
Zoroastrianism,bafybeifzymbxkrsfin52zasaitioxn77tywul5q2ilty6nn6fmz2rr4x7i
Jakarta,bafybeibthin4ggyxqnywitdfhwhsfwpa3svnjckbso2vvrvl47mt5l56iq
Abdus_Salam,bafybeiextgor4s7e34kyhlalyn2g7cpto546chaiqwg4as4xzmvdqudtrq
Buddhist_philosophy,bafybeifx753feabiuqrqb4dqhv4pfvuslyrnc6mn7szuk62dfo4hvkq5sy
Dushanbe,bafybeigoddvcxkj6qclldbvp3dj2zfy4q4op25omdn5gmfz52t77ycj6ya
Ashkenazi_Jews,bafybeichm3zk6iia2rqec5jp7gkzakiy34z7oo3lxejr6agfr6or2x3qym
List_of_sovereign_states_and_dependent_territories_in_Europe,bafkreids6yv4gmvj44mhwfsdznew57257eqiglnetxmnqow5tlgyt376fq
Cyprus,bafybeihcf4zxt2kar3mvnw6m6wthqm5yrpf56vz52iuuh5gzpggge4vneq
Kenzaburō_Ōe,bafkreidkh2g563kps7sexc53mgtjuyfqojjahmxhcvogghhva47dvcmcwi
Korean_War,bafybeieqgcdgjkibeiqyfdxkzramswkoy4m5e4snirbqwoshx3ca4k3v4q
Turkmenistan,bafybeiexsw6gjza6sjmjojmm454qppheov6vwcqrwcjzdanrdqkpccadfy
South_Korea,bafybeid3hbrlemgfhou52nqnfmljlfzzvbtcsvs43zv3d5g3lcqh4mhepm
First_Nagorno-Karabakh_War,bafybeicxksawlh5bvs2yi4hksegowao7636gessrt2g53ubnuix26mwxvy
Indian_Plate,bafkreifs2fvzcoshrassj5psg2mmoxyyl4jeseg5qp2ul3bhakyxcutd5a
Cultural_geography,bafkreiexvvcdbpg6ssdz6t5377celpxszr7qllj6kqa6b5jsdwqgiiaa7m
Turkish_Straits,bafkreifofgqwmx4bwxsuj7zmncl2akese3htvtc5it7hadphxieya55qd4
Special_administrative_regions_of_China,bafkreif6okesraag5p6k4plfwtcxqich2rg5dqiwgjwnq3bjlvozsrogoq
Menachem_Begin,bafybeialddue6nculnymwxcv4vhub6a5hzpvjsaubnc5ntmq4bt3ayjp5y
Pliny_the_Elder,bafkreiawirsvnf2vvhct37nxzrbgvmwsbgwewg3ctjjyp5dd4mdobfuuem
Enûma_Eliš,bafkreiddhvnirdlazvcinqsrmptpnkr4eegvtrg7sis343hlnklxszuyei
Indian_philosophy,bafkreibb6ia23qtjki6w6qbdtw5tma2pxh7ue6h5uub5nietuog4eevdgu
List_of_rivers_of_Asia,bafkreic2kcbzjnzeiyo3nrnzeqsigngwrmk6ouaxnw35qkxoi3bhcbdmd4
Citigroup,bafybeihgtapencz2zai3adnbcp6guytbshkmikpuqpvcvrtosgutspf7xa
Asian_cuisine,bafkreianrlgtvqmym2xiznl22eke5hncfcmibb2r5ptiu5ohxrkhe3mz54
Papua_conflict,bafkreifkhknsvodncpbju23nlvfkjy74thxdfcymp2nsn23vfo7rcyhitm
Trieste,bafybeiaiqqarexikbfkrzjpu45gdshvqe2l3kbualq24fdnspactwbfkqa
Peter_the_Great,bafkreiayhv7nnzurw2xf2f3qutjtvf5t4fg6kljmj7jhpu47izoncomkcq
Hesiod,bafkreiaq4jxx5r67rlcxgeldcq4jn44tvya3w6q3eowwy3lu7r6crxx4j4
Azerbaijan,bafybeia4yjymf2cqvibdrwxwjdf2lcdydkdkdfucdb6wsulja3t7mquhva
List_of_mountain_ranges,bafkreihmzutb5bdpkkjmqi7zqkpggyzfx3u4kp3pxgulysqf3pelavbd3a
Greek_Dark_Age,bafkreifhkghkoeu6jtddui5lnvma3oigqepfljymvefzojns3ciqysqq5e
Syria,bafybeihun3op66prqmcy5wo5rwuu4at4mmhoulbpcyl4xg7c37bificucq
Amman,bafybeicc3sm6yokzdpfowzvdq37z4zqexkbwkl2wdxaefek4wzozq5t6ja
Malé,bafkreickyrfzledw3apu5lbteft2jwebl6glyckq5fbl4zo6ka33lwabdm
East_Jerusalem,bafybeig2sp6sdk34df4bad6knhqoukw2vkhuz6ivqeomsc2mvhhtxqrgay
Business_process_outsourcing,bafkreielhvsktb74kjdbe355ysn6ahqpr7gtzf2dr2ruzmnnxcxxtykeky
Beirut,bafybeidfo7uukww7xszkujs2wkakai65zt45dh3pjzlwuw72xdqh33mihq
Atolls_of_the_Maldives,bafkreigckpacj4myz6a3m3jcfb54oess72jdk7264cihodlkenvrsxo4he
Angus_Maddison,bafkreihxmobvzdqqdljd6n4ydmhqyw4nkpiryid2lwe2j65kr6rorph4r4
Naxalite–Maoist_insurgency,bafkreiaobjvuka7louiqh4hxenxx2af6rqqeqo7k5mktjknilgx4zj4wem
Yasunari_Kawabata,bafkreidwyxpckhpx43tqybo6y5dsbeh6cktkbaadvkn5hlypxqjedze7ge
Nobel_Prize_in_Physics,bafkreiblmbwmfryajllm5r7jlm4micyj55ygcmqgtgeqpis6dsigmwdgia
Europa_(mythology),bafkreidtvmkyurytq33ejped7kbz5xivlrymhj3bqza4ddxwpulgaquzba
Bali,bafkreihtqz6o7ezno3ydibdvrtezfbodfaadxcd6jifj7x4uj4nt53nyny
Muhammad_Yunus,bafybeiacswlrazbjh44trklzebp6mko3dquw5tzrckxl4xsoudjiomdfly
Carl_Blegen,bafkreiegqqx6qzdkdm2tn6cyjbd7z3ju67bsvnjpgs4r6myfrlunw3ovda
Collective_Security_Treaty_Organization,bafkreiegvjoskidr7buy3uvodxbfozsgizlghy6b4oq4ikui3im6kduywe
South_China_Karst,bafkreicyozt7udvsh2cwbj6dejrvvzgnrzedutjbodbn7d6dhiryuvna7e
John_Chadwick,bafkreibsqu2y5k6cmnqxxy77qkwygnkwg5kubi6hduzgj7ivcuzlpjxjzm
Nobel_Prize_in_Literature,bafkreiaitrmwj33yddvgyc7r6jnjheejb6texauovzr76qk5tcejuvpg2a
Turkey,bafybeiellhmpmwxm7jleef7n4lugc3a32z4hqilo2jt77pup3qtelcwtoq
José_Ramos-Horta,bafkreigaiycm6rco45s35moxnact74q4i6csnhd23fvrqceenxd4z65ugm
Vasily_Tatishchev,bafkreiehqmaix4f4h7j4kduub3idfkx3slhto7qeizt36xyfoueu4suiea
Thaipusam,bafkreid4yyf3i7vxe274qf7b3qnafgpqjxtm66ji64xtc765jyuqhxgaje
Malay_Archipelago,bafkreih4cyorzvyinztlvpiu3thlqyo4yz55rluq7vedvvmunsm4kbdsni
Cambodia,bafybeigi6wyvg6ghmmy47ftuzxk33fvlvvtdazl43soafqfexf26i3q4em
Economic_Cooperation_Organization,bafkreidsd3j5ettxxzlfvakmrk2jrmw4afhjukjfw4nvynwxvxns36wsme
Subregions_of_Asia,bafkreid5p6m325i66tp5bfl2723vtv5k73vg7xracu57gi7tvgqzaasu4q
Surami_Pass,bafkreic3jhxahnuyfkdd3h5ejudekcyeypejkmfgscurjfsrxlmbfvqbii
Taj_Mahal,bafkreibece5p47k22b6pw2yhatlkedceojh2ze4rfh3ytzraqjp7xegafq
Kaabah,bafkreifdlkkoa6meizxxj5balwfkj4xpfxwvlnuukpvc7jmsld3zxih7tu
Pacific_Rim,bafkreigosatbbfxc7555h5xa3oixz7z2crsya5sypckwnydeeku6boue4e
List_of_countries_by_past_and_projected_GDP_(PPP),bafybeigoyayy65n5gkeu67lrby7fwvneqr46gcjz3osag2zfoz2gzkudu4
Grameen_Bank,bafkreihcnpjeligcmaexrw46dtjp5ytnkrwbqezctbr46ezeg6jaoe43rm
Akkadian_language,bafkreibbnub3x6kf7fislni7vx5xpokygpjez36oal57eohopc7p7rke5u
Fauna_of_Asia,bafkreifu57yyk7qhfnpsprw7uvqy27jzmasysm34ykr7lo2yl676vm4aoy
Asia_(mythology),bafkreihtaxjqekpbauyn2g26xtqfgnrruznzrlm6yue7adnxh3bevowmki
Japanese_Archipelago,bafkreicga26s7j5tkfig3l4bqgeiw6iedn3hnvw55y7bgnupljl5zqvo4m
Saudi_Arabian-led_intervention_in_Yemen,bafybeia4ngyriuoyuexppt2cojtxn6dpfe6cksstuv5x2fhpaqlwjnhcme
List_of_Asian_mythologies,bafkreigzukp4ovy7sysr533jfwaca3vwze3kiiys6v6vir7jk4buza7tcm
Mizrahi_Jews,bafkreigoxuyr5drf2vvhj2bymsr4hkimnpssycqo7sksbhhxhxsk6wdpri
Gulf_War,bafybeiagwcjzbnt4hmkdszsji3ukc32efcbqqomqgqemqtfh3rf4cqk6a4
New_Delhi,bafybeiei33cru7cw6ngoa7blizroqmbtgvffuq5vdjxf5e54fj7qkzgbc4
First_civilization,bafkreifs64ha7qofobexk6xa6c3icauehj7yphn2dzwmz7bxbvmvkxwojm
Soviet–Afghan_War,bafybeidtty7364g4bup7ys2vbxtp6ncqab4bamkpqkviyakhc27idr3jny
Liu_Xiaobo,bafybeifbzddajjkqyhuny6uxu7ye5ndzornpffs6bavgny6rnwnbvsov7y
Mahayana_Buddhism,bafkreicqfw7mgxws3gcl3cilqdhc3jim7uui2w4sihatmot76dzo5x5cau
Regions_of_Asia,bafkreid5p6m325i66tp5bfl2723vtv5k73vg7xracu57gi7tvgqzaasu4q
List_of_the_busiest_airports_in_Asia,bafkreiepjmlll5ftkaai7rjhset24lo4xv3apbhg6d3pubfuewzvmi65we
Mombasa,bafkreicqhtexxbmzatyoqmvntvdb7vkusnkencelvqnjeljwzs76c6up2i
History_of_Asian_art,bafkreiamn5gzh33qaqf33aa67paebu7ergr5wmf27gwd57p3uigi4sra74
Holiest_sites_in_Islam,bafkreienzexrmz4elfide6dehmpppv6xrp4mmut5iv7uu2tqeh6qqsf54e
Bangladesh_Liberation_War,bafybeifu42xyhhgd5wtydgx27akdkgcgbnsvd72wapusys63qeiwpnl4vi
3G_(countries),bafkreie32u3bb6bedh7eyluyyic3j5duz74eqevt4tjsj6sfuchbb2q4a4
Sardis,bafkreifiyqfqmxzlcsjs5hko7ugbvnkqr2cr26nzubj2mjmeyqf7in7vc4
Persecution_of_Baháʼís,bafybeia5ftgstfh6cumgmfbac4zczy7kem6hrvzhsa7fmlreyc7c22q72m
Delhi,bafybeiekcc7up3twvyllmyaltrddo55wxzfnvmht2sbwmd5yox7exnviq4
Phasis_River,bafkreigbh63s45y5wipggys6susn237w2bu2zvt4wtt4wtsyr3nofe3ehi
Insurgency_in_Balochistan,bafybeie36gv7ike2yms2bbscukb5q7xkigo3wwnorlw23wdjjkx26zsgpy
Oceanus,bafkreid7o5xng7useimnef7ybahznebgem5umkmceoybxkd7urdi7qds54
Simulation,bafybeiev3oirpxgey3sbgg4ot6jrzykpj3lrmwdzboeva5ua2btre27lzm
List_of_life_sciences,bafkreieinirfy2pd75xc35l3pg6vza53wspote2byhxjteyf4kslxnjmo4
Space_physics,bafkreiekytlffk4ayupwh4rylnbkd3gln4kblf3g43moha5rjj52jdw2gi
Magnetic_field,bafybeihkdgvwm46d4yalv2uydhvimnkcjfccipw5uqoz357fhqr2j26ora
Photovoltaics,bafybeiarv2junmewcdzn5k6bp7az6nq3pqxvr62uuufmiok6vkxfsv32hi
Egyptian_astronomy,bafkreigl5diy6tom3wjf6c2o5w4jybaqu6qqtsqlfe4t35jqm7xey4rvly
Physics_in_the_medieval_Islamic_world,bafkreib32cxrqeucjy3cmtrw2544boltt6yufeiqa5gpijocmrr2cvbqgq
Henri_Poincaré,bafkreibpsa3p5cdn7bdps2qcrftubxpdozdqwegp3xud3wkjfa4rzju3ri
American_Physical_Society,bafkreiebhfymgt646pzap3lck3ekmhao22e4ugx7l4aze76ji6f3ww4yly
Flight_simulator,bafkreig4fndmsquoep5j5arjrkccbejc7hdctwodlxc5gnotanpcb4rga4
Superconductor,bafkreifurxpz3tw37rbatktpxjrrfaxnt5d4belnpcgi3q4pua323z7cpa
Energy_levels,bafkreigpsgaxndlpbdmfvp5lobn6lxyvv5xkb4sccpz62ebzutsluzxoca
Vacuum_energy,bafkreicjnmhixanjrhs63qve6mxw3t6rsl4rohseozzr45rdmz253wixpe
G._E._R._Lloyd,bafkreifep6ebdmijrtrtxqitdyprof2y7npzhplszhf77usfghbmohhywi
Mind,bafybeibrlfl6mioljr3f6vpw2tsbzfmgpxgh2bht2jnjlg6ers7jxbn2uy
Philosophy_of_physics,bafkreibz2nnyxai4kuw7ylzcejvnoysnl2ox73zdwb7b5vwm2dll3m4jmm
Sir_George_Paget_Thomson,bafkreiadwxkdqne47yzuu5hxbkcqc2btx6qrgfbyhvisyveqyoymvdsxi4
The_Nature_of_Space_and_Time,bafkreibu2db7pqlpywy7wizz2yxsfks3vncjseiz2mi4f3hmkirb5abegq
Solid_mechanics,bafkreicmqsiswqs7fw5pd7r2jaiu7hymodt2ku3vrpyxnutz64plzvoxni
Lattice_gauge_theory,bafkreifhei6q6dpuzokrnop7mfd6wavfsd2pr65kn2ufs7nwcthnmig3em
The_Feynman_Lectures_on_Physics,bafkreifbfvry6qv4v2diseg3mdvvec6cvu7znona5zz3bv3352c46r72wa
Chaos_theory,bafybeifrx36uotlwtadyetyzommkcgjnmelutxl34grlbxjrf3k7q27dyq
Pinhole_camera,bafkreidh542ser74s57k5u6vaf56l4tlqbwxikd3zbyra53r6ddjthasuq
Anton_Zeilinger,bafkreig7uqtona2dwjzqetgl2vk6xriyirgnznd4lqbnrrr442lcdwm7ti
Basic_research,bafkreifn3hqdg3bzlo2n425lcu6gtx6pq2i6c6xzvmgmsip37qws5s5e7u
Computer,bafybeigdbnirblm7rm7fr4mkriee7znhyfjjsq4qtqnv2teqlgv4azxdjm
Fundamental_force,bafkreiek36wpsp3umgpyipq5gjddvqp7s6axku77uozh4trmjwu4tp24kq
Lawrence_Bragg,bafkreicwnt7cqwemiwtgzkigpyyg2tmqjdacfjlfghpi7mfnisbsbtdtzu
Kinematics,bafybeigvowxxsewx5jczqwrezrnv25zsk5zr5gbs5ndindrigb6iutamme
Communication_physics,bafkreiazxzzo6atymhq4433fxtmon4prlff3qwdh5zobnl2rno5hwhruxi
Loop_quantum_gravity,bafybeifqk7ykgomf452errvrxmklzksyqci6uc2l25v2yyv4dydsvor7r4
Western_world,bafybeiafkxerop7glmhv6am3ek7cv6nerj5kzsnqzucovsyhlywtiv6w7y
Early_modern_Europe,bafkreifljfgpempjlm74n7ftfp3c6pbfc5e5cozivxecfpdlrlp7kuf5x4
Henri_Becquerel,bafkreicmaw4k7p6ypgvvujc6b27bdfnkznoeey4pzkxlumlpax5kaoewbu
Robert_Grosseteste,bafkreihvnsmemyimpzjxu5tcgtqskwktzoyy57tpiei7ohz77pryevzu6e
Weak_interaction,bafkreibtl56gi72sac64j7sr6eggqj56q5gfh4jhsxeo7s7itj5qbjhu3i
Visible_light,bafkreiabessvz7b4sguhpzcbsqukie7d5fk63grl4jeazdkv3i7flgbqci
Schrödinger_equation,bafybeihajmp25md2oiri7jqndo2hui7h4wrgng56bp65jsyl55qlzee26m
Probability_amplitude,bafkreihhsu42uy3gzzu3sou43zxcdfoy6wvr2nm42f3te7t2rbjqj4qlwe
Conduction_electron,bafkreifkcuj7qfou2e35q33mzq2zwh2kywlssyz2tncgpfv5tf3aqlshkm
David_Hilbert,bafkreibwckluc7s2yxtfte5gp63vbiml6es26hp2jbzbah4ze6xnfatbra
IBM_Journal_of_Research_and_Development,bafkreiezjgqdb3jjzd7owacpo3h5lk7zyk3fj7jr77u4janzngdjzv6kh4
Television,bafybeicg7lhjyf5bugsc2kvbp5ow5zbksmdfph2lbpodfyoyc2xguyc3de
Karl_Jansky,bafkreihgbftggviq3xfaujdv7ph7gl6sqx3z2lh2l73yjzh7vzas77y3hq
Solar_System,bafybeiavrywaoy3orjobofyeqtgo3rm3qqsfftfe3hb2ht4pdw3ms7h3ae
Strong_nuclear_force,bafkreidq3ig6ztr637qcgckoeichdfwhbb5o5u64ga7hfds5hb2e6echom
Spontaneous_symmetry_breaking,bafkreibd5aefv25d7mqzbtqy653ymuysorjrtdnfwrazvlkooj2xd23qdm
Quantum_optics,bafkreihme4ietghmiek6rehqyxsfccdl25rtsfymib3gjdgir5vtntfyvq
Institute_of_Physics,bafkreicg65fbzurbxh6asvnzyejryusr7wmnawbesenf4c6vxejkszrwim
Roger_Penrose,bafkreiglv5kv63oheapt7ni5myyq7klvlsu37enrkgq6cktawf574apiey
Natural_science,bafkreif23ajeul7xpsxdic7pkxh2nm4avqn77sd7krzecmfvd4i4vi2rqy
Atomic_physics,bafkreifrje7cwqi4nmh3lfqcrlkfwhy54ytvko5r3njhylpvpr72kovm7a
Galileo_Galilei,bafybeicfixjwrbjhix3qo7xnpqjrksgzn2kpfh3tw3emixhomittmblbki
History_of_quantum_mechanics,bafkreihmk3fg4qo7lflutqy5ivairavomkspx2oelwfwu6xsof5ngu5ewe
Eighteenth_Dynasty_of_Egypt,bafkreihcyfirf2r5p3ceg4s2j2cnwxsq7uwhzd6jkja24srdv4lvyk6rqq
Book_of_Optics,bafkreifufltnklnlvg6gmrnzrybtamqltbp4qtesqqylyx6acv4l46ufnm
Absolute_time_and_space,bafkreif55y5wxupy7q3bn6yuhrsqckhwz2rjqkqv4euwsnltzhgzcto6yy
Infrared,bafkreibe777f64sqks5wyq62vo43vlmnl3a2whpdyb57s7xfkstg5xeuyu
Physics_of_computation,bafkreig5z7cbdi3v23mt35fpdgkj4azu647vfxqqyqoaj7ozoufg23s3ei
Modern_physics,bafkreich3ittu37dv4d45e5qs6rz2tybnlcd4ghalsjpz3atbdhuddwz3i
Ernst_Mach,bafkreiamcufmxebwr3navntc3hbolny7xv2gf4egel5aft2z2ocbrv35ve
Hendrik_Lorentz,bafkreib4jeoojxlz4fsfrswsm5je2d7ucn2midfalvvbrcn4holtgk5v5e
Cosmic_microwave_background,bafybeidx3mgdj3jxdzswjjwx7bywf6yeimtc2ed5lohu6orhti4bujfjlu
Grand_Unified_Theory,bafkreifwpywdezzvy5kranv6fjbz7w2wdxbn7pvsoxakngg6vwfzmfbhim
Electroacoustics,bafkreiezedoaljj35cwg3civ6q6r247cmdamwtn7jxjhyqj5qpz3h3vzfi
Applied_physics,bafkreifvsr3zq7qhtts47sgka5x6azyxoniydx53uayus24j4jbir6w6di
Heike_Kamerlingh_Onnes,bafkreibvcskv6dvwatsthg64aoeioj32ogldepuijvibntx33jvmn4bcja
MacTutor_History_of_Mathematics_archive,bafkreiayoafoc4pjzbtjhtdddufnrba5ywfdluxvjs5bprw7rns7buyub4
Atomism,bafkreied73zcscanz3sftdnvukoft25t5dfa7xxps542yeerdyixfubeum
Meissner_effect,bafkreidkt5nccw5ezmuiqp3csjjdnk7kackq6bnglzklgwp2exhxzgaotu
Surface_tension,bafybeiawujtmrb6yycu66on44bjcoh5jsvc5hzetbp2nyt36tzv5lzlc6a
Scientific_Revolution,bafkreiehcqvb62zlwcp3a54apq7xbadoomfjcr63hfwr5sx47d7mk2txj4
Hermann_Weyl,bafkreifa7engpnzqnzi4xgir6b3aesrohp62qvyeodkyxmnl7zdm435zza
Perspectivity,bafkreibv7yfxrp7lbyldynhuagi7iz5sohxkkzrbloc2qj46d4g6isqche
Acoustics,bafybeiadb2632tm7mfe3ogzsaz5j6mgvxy5ovkwjgrqihjplferoefq7v4
Feynman_diagram,bafybeicbwkopufskdpzfsmjimkzvmcdayi5edbkhbpd2hvxjw7nvgwqcgy
Baryon_asymmetry,bafkreihxixzoxeladdqp76pc2mdpjb2lyvwqgsjiym46cmlrhlktma2n3u
Newton's_law_of_universal_gravitation,bafkreicc5oot54tmbrtbmbld3dtcxb55olbxi7kvkqrrem4iog4kg7k7ru
Hydrostatics,bafybeidhptscivtvacbu6qjadycyaekqvhfar5zakfekirvsl4vgg5a6c4
Cosmology,bafybeieu67zwolctnaynsspmqpgunmd7qyfiyuyb46kvmbgarhmk22zlj4
Fluid_dynamics,bafkreigdmq7g43yzsdko57rhp4tinmkxgn3rydixf5l4q66rdarxrn3hpu
Determinism,bafybeiciqtvr4gsdqqra66x6xaklwtl2on3iu3sjidwbxmdk4mzw2hxd5y
Ibn_al-Haytham,bafybeiecps6surljhyuvr52jvrthsxuhe7i3npfhyybyjfepumz3tlerzq
Avicenna,bafybeihvka7vlssb27gl3j47nwldmt3x2m32hu7es5y7gmffae4shct5ym
M-theory,bafkreiexbt7spo5zk4nti2aq4hvyolzt2plk42iaulliemtoy2ewbvdz4e
Ernest_Rutherford,bafkreie3tfbhwpzxnazuqvvmzhix5erffiorcngobqxfkpcbdzsclfdsm4
Phase_(matter),bafkreiesab36nikfytpf6y53gichsfiuynfqdlnqnxon5voj6xinmd72gu
Industrialization,bafkreigmtlbzay4wgqkyvholi5xbbs5ehxalr4c4ufnrn63gds3e5kqy4m
Analytical_dynamics,bafkreifnmm2jo343f6cxk753vaeguybtcui4eiihyumad44dwfpuv5lhnm
World_(philosophy),bafkreiciazohv7bjf3k5d63uaz62waztrptcpcpafbhj2trxscpwrccaya
Spectral_line,bafkreibtcm4772rmmgeudk26cshfxz4o4hxfss4wrsifssox7vad6sr3je
Many-worlds_interpretation,bafkreigmqo2p5oom4jniaqozaik45u7kn6x6a3xbybh4vvkusw7izp235y
Diffraction,bafkreifecijc7zcndq766qzif4wazrcsf7du5fuwtwdhjnpunp3aabky5a
Bose–Einstein_condensate,bafybeif2n3bjnfidypzqfvmba3cntmlhwnllokxhqvkit7sqkbn6ybjrvu
Cosmos,bafkreidlrvwjwqtznpmr5oquji7gybeh2vdybjbfxghy3anz4ocadpkh4e
Theory_of_impetus,bafkreifb26ogulsebosjea3wlygdufei7ppp6vzuhe4ngch7nb7ga7yexy
Ultraviolet_astronomy,bafkreic6zsvhzhyl4sayukvmixfslvpbaco5bsdsforggjlqzwn6whr5v4
Gottfried_Wilhelm_Leibniz,bafybeib7l2k3zoj4ioxqkood3k6h4sebqmhmtvflmdknb5stoom7vwqpda
Massachusetts_Institute_of_Technology,bafybeiecefpbd7ppcxxk63dtywjdf25jllqhcybaq257s5kyxnpvtjmlpy
Philosophical_Transactions_of_the_Royal_Society_A,bafkreihecsut37pza4nrlhu7f3jbxzpnkr4qmwzvdiwuydff74edo2fase
Biophysics,bafkreicrkbhtsth4xrkq6yxqzn7i2wxgohyeqyv4rheiky4m3qlx5jx3zq
Quantum,bafybeidqnlbgl2zgktafsgahbttqzrjvjqxhu43ju3zuerhqlscxrdo3jm
Molecular_physics,bafkreigbhxcxovdeotmsajlok2as6sz637znm6q5q342d7rjbgk6ktxdli
Pneumatics,bafkreifsjgx2stevpdscfpyys7xop5wbbhfqvon7h2hevyvqyd43xs44ca
Earth_science,bafkreihdmenbmt5cm4rah2li2n7f5etxbvsvgg2whofvirewronzxn2tku
Video_game,bafybeihmygsfnv2puvlspye327jbqtwn6pdr6yqlbfekzm4j3v754iraqm
Electromagnetic_radiation,bafybeicybh2eow553vwow3d6cbfx3qgyc3h25ognp4l5s63ktkui5fqcxq
Quantum_electronics,bafkreid6pgr7cfjmjrmqv4owmfl3evzgnlm2usdtjt4anx6qnd2c6vugva
Superconductivity,bafkreihlt6elrtpm7rooa7amwr77o6zcwucrpoxnfhos4g6mzdqffjtc2m
Theory,bafkreigavoqfbr2c4t2t4lhq6o6edkjul2sg6l6dtawvdaihujxsuruwpu
Uncertainty,bafkreicwgtwgqs7vhb2itcjzilgomobmg6xqypsxwinz76eefnwhlel5hu
Solar_neutrino_problem,bafkreibdu2ejc2bgmis3nb4owdinficqowlfkovqsa3chdulzq7hv2h5w4
Telescope,bafkreia7wuk4du2odbr2c2tn4bfwd4t7a4elb6vtlvm4nhnw5l4loihtay
Western_Roman_Empire,bafybeiegyai7dtjlx7dt7yi5inonbyehk6mfuxmpolw6udu6eic4hiidqq
Standard_Model,bafkreihkligihgbra74qbk4rw3qjjuhk4225xv7xpbpak2b5w33pt2wgwe
Statistical_physics,bafkreiccsdzlcxo46zl3o2fzbs6wjknqszwk6fm3v5rxeqsmeui5yeygji
Fermi_Gamma-ray_Space_Telescope,bafkreia5c54o5r3hqzdd4hb5nasyw6elsnxup4mbkfmd6g2uhcadpuxew4
Atomic_nuclei,bafkreihj7ugwfdrjxctf6bq3fockjoug4ek73oh5z7ezfdu7zwaczfwtwi
Continuum_mechanics,bafybeibcpffl5shqn7kxjfd3ndxr62725d7iewwjjscqnotratltabsuuu
Nuclear_fission,bafkreih4uzbeuietggl27ktwjl6wmgfhgqwd7fy7xonsr43ojksqx67dgu
Methodological_naturalism,bafkreia7udahn7hetvbemyqz4xzv2y6t4ytirlvbanpmmcnfe2nnvx5mcy
Copernican_model,bafkreiesrrsf6unjih5xukojmgifgtf7eyxpuxtqvtuq23ugckjxr3d5ee
Quintessence_(physics),bafkreidyfqedlzsfcseayzbflngjl2vou5dkacmri6kvqsqwqtmir4422m
Heliosphere,bafkreifmg7py4iaxibt4kmiayr2xefwabwyd7gbzfnex2zmx2ahveeajpq
Supersymmetry,bafkreice4zcmft4b23nripqzos34dousjljbj3dbdkkwijiksh7l2it5ii
Physical_cosmology,bafkreif4ev3zmfj5x3aemfi4f34uasctgczorc7gxnx7bectgju32rcybm
Galaxy,bafkreibx5cca6wtteafz3ydflvyb25ozd3lsp5yfczbwowqk4tmknfzm64
Speed_of_light,bafybeih65xlvl5aa6s3wjrfacxkqsuud7tijcem5eeggxnt6aqeimvbhga
Chemical_reaction,bafkreicooddjlyzjknbpe6o6r4iotzgrguf4ddxoq4u76ovwmaeg3aq424
Werner_Heisenberg,bafybeibylvzfolnw6nlerwi3wh62lv6eer4metx6dx7qnw6r7whucfqhdi
High-energy_astronomy,bafkreicvbbhv6eltwipl4gqkydfsxneu2dnkd3pokuriakdmmajnm2vmau
Classical_electromagnetism,bafkreic7fjfmeqstd4tjc2oatfuefnax7x4vfyh666z3opypoarfznkr5q
Novum_Organum,bafkreigwmhiqnlwlz6wxibz7rizdtsxadvlp2tdl3shxjqobyd3alhx5ue
Max_Planck,bafkreibg5mbdkosm2kxp6575i4o3vjaw2te44toamxusg7sxanei7or4ui
Particle,bafybeigp3tuw4jrr5ylis2hz26k5kgsedi2rieecqrkihlovsmpliqck4y
Brookhaven_National_Laboratory,bafkreibdm74r5wfial4ahgtckbwujldtenpfv3vsxcpj75pskmbf3qkoyq
Paul_Dirac,bafkreidprgyse5xsfptwt5e3zgtsrcm7lflkl4craayyn24l6cqxintigy
Conservation_of_energy,bafkreibpbr3bbwbd2xbeytkehwdt7wbrpwllujp3mg7ivxvxcvjbgux7e4
Natural_philosophy,bafkreifpc7qaoh4jzrhudb7uq23d7jsjanlpp7epgcuebj6n7vmdoh74ha
