Original Link,Resolved CID
Soviet_Union,bafybeicklgdcdhsmr67jiy7o2if5izttuquj7xubmyzoutfwzqkoxk5rhi
Human_rights,bafybeigg2gb2rmynwef6jy5rlkxewitd2n3fzztgm2hfke7gcljwyrpt6m
Byzantine_Empire,bafybeicutl4ft5vo3b56eg36txhk4qkxy2yofj4eunzsy6afxl4dnazqzi
Wikimedia_Foundation,bafybeifl5wout32lhdr7soeuowasd7mzqnmeon5472or4bgh56ek4lwmnm
Motorcycle_sport,bafkreibwj4rkqf3abhrp4dflbtguxiognxlhdxcsk6kqvkrj2kluq5pzja
Software,bafkreiesiwwrkbdcyemggqg4zcpog3ojjetfoye5ah6vjpbxiv5o6ss2jm
Middle_East,bafkreidpf3g2m4dkb3o5azlr5sqc2nttrwtpr7n2nkuiv4v3xf5wofqu2q
Medicine,bafkreibm5dhj2qjs2ukihlo5ptgpmyt5cz2ap6wzooxmrtcup6qj74ucly
Archaeology,bafybeibmy62zigp7w2mvxb3zxk54cnhbd6a3fevsjztosqv2muubfnfqwy
History_of_Japan,bafybeibyttw6doftqd3ce5njh26nftstq5nmdx2f5ahl2lcqwbelcjyg7e
British_Empire,bafybeidzal4umxqa7umpl7djtl25qpdnkxrdywaewsa776uvhoqxppfs5i
Radio,bafybeigpybb7hr4viwfiydg3skbfm565irlfqmu6en5eazqgq4x23tibha
Free_and_open-source,bafkreiagprcpui3i76ozddbfg4fkju4ayzrahbizd4spg333o4nhoweb7a
Veterinary_medicine,bafkreigigstu24p7jibuojcma4d74iv7xoo7kjfhzntchdn2tibzh5yrtu
War,bafybeifp62cba7oc2bbwvxsrspzof2xg7hqoacp2taqmzatloxojzisxtu
Social_sciences,bafkreidfwfgbqtyvzyubcwmxoo2idjmrfq5uk77g2x4a77dhgcvmixw2jq
Computer_science,bafkreihvrnp2g2q4plr77tngemqypa5eydahigrgtkcss77losq3t3qdka
Ancient_Rome,bafybeifghmc3r2otlsxuw6f4lktpqvrvzbdp6lcvtpeybnyizgzfubiowe
Optics,bafkreib7lmulvj3vhjgrnr6krpgq7s7vrxfsqd4j5mxaricbcjelknzuqq
Applied_mathematics,bafkreihlcb7zr43khzsuci6dqgt4qxxmdbqko2kswofzo6duz7x4c747se
Russian_Empire,bafybeiewp2d4wvhhhiy2pnlscm4jvah764jn472cyjpt6ovqu6632n7tj4
Colonialism,bafybeihhnw6mtx3zh6lamqtju5myxrisiwuv5jf7zr6mkf5xlvryauzo64
Poetry,bafybeifxzybzddritaeg5ew62ezazsd6pzk3crfoxea2h4cshno77y4niy
Infrastructure,bafkreide3o6bgp42slp2vsbbmmv3dqklbwt5zl3uydwriaafrsffh2ox4y
Wikimedia_foundation,bafkreicf33tn5nz3ygmzcpgrmrwxuc5ybfdb52yz3zqwppmdwlb2iyo3pe
Telecom,bafkreigzt4oe7nyn2jdnlatyyq2wj42j2rreyquw2pqc5q5jjmadpk2zdi
Gymnastics,bafybeib4apsbjzk2k44khpmi4ygyzajpjnvhjnrzytgfxv3jhtsehxmb6q
Mediterranean,bafkreiga6bjztlzbjdfbxspnuboimwnhyvgrmad2u4t6gbbaxu6u7jhvsu
Philosophy,bafybeiguf52lh3ikt43lyvblc3qjvmm7pvzuyacpz2gynri2twws4pj6ie
Law,bafybeif2vlh7d47hdanh4dkdymumafvyxh6ohlvvaxvlijm5mv755qb3gy
Central_America,bafybeighihuunln3bdfnhbsmo5ub454rbmz75wmu24iia3abmjnwntrso4
Online_encyclopedia,bafkreifwlxajb762pytg26vwy423exvkpmzix75ttpsuw4rqyev3vpacnm
Swimming,bafybeielfnaz24xm3rgglnfn3hg646pnbt3xddafgoa3y2jjz7jxiha5a4
South_America,bafybeigacq5h44qkbaulxtjm4sxjwejutxzq3vcif4g36teubsftevbi2y
Fashion,bafybeihbugyii5lqk3drrn7i3sw56c7sra2jj32tl2mdhxz24zz2sn6y6e
Ancient_Egypt,bafybeicwtkbeaf4pfmiik3ctj5lknbb2g24qc74munbtfiiu3jtb5leuky
Design,bafybeicjmga6chb2z76dp45jz6v64vhwq6xtrgxiclzjg3yhh3nvizr2eq
Indian_independence_movement,bafybeifhx4g7fzvzo63m4wzfnhowl7gxgjnw6durc4p7v475mtluf5gjge
Robotics,bafkreihhxxmk7247qyhnbiiy7nz4g5ikxu7i5tufxo67ix4dkkqtqta7s4
English_Wikipedia,bafkreicklhckvlekjtzvkqjahmserqoqkd66nlt7kik3niiju4j6xzhc6m
Biotechnology,bafkreifvlakudnv6tvn7x6qky5b72yt7epoebg4uhv62czlz6shmu6c5ze
Cartography,bafkreianvb4ks6ongohrboodyu4a7bpvkpyym6jearm6ixc2j546w2vl5i
Renewable_energy,bafybeig5ere2wl3xmwhejxrewhohriye7c45ls5uszgcubxaxhtyt3wvty
Forensics,bafkreiau5ifzivayoccvzsk6tqb5gly5jftsr5vgehabhzf3hs24encb4i
Europe,bafybeia5jruxqtd3faebltvehju5ydaa4tog7ewvibpvf6bnlk7jbbi2b4
Education,bafybeidzsa2ep2cdyjbkuxrbbasw4tnijgttqvjgcy2vnhdue4laia342e
Information_technology,bafkreig3kcjxbcaedype3xxk5fmo3r4gtq635y6pdxfkw3wgbkkxjkpkey
Arctic,bafybeiftcxj7evlneqsvqjf5ccn4qolshgyxyovjktwknxprjqkgrhli5i
Reference_work,bafkreifgzgb7z37xo6c5khmthcd56hpsajwe3p4was4rmnkgpevglarcoe
North_America,bafybeifoanztiwsapipqjda4fe44dgqkamfuccegxp2tys6vd6iuumsjzy
Social_work,bafkreici47dwg6blzdlsq2umki7ffruoiqgmrivyt4xqi7dzrzsmircujq
